gender,mean_pitch,max_pitch,min_pitch,jitter,shimmer,energy,zcr_mean,spectral_centroid_mean,tempo,hnr,num_words,num_characters,num_pauses,silence_duration,duration,MFCC-1-95,MFCC-2-95,MFCC-3-95,MFCC-4-95,MFCC-5-95,MFCC-6-95,MFCC-7-95,MFCC-8-95,MFCC-9-95,MFCC-10-95,MFCC-11-95,MFCC-12-95,MFCC-13-95,MFCC-1-5,MFCC-2-5,MFCC-3-5,MFCC-4-5,MFCC-5-5,MFCC-6-5,MFCC-7-5,MFCC-8-5,MFCC-9-5,MFCC-10-5,MFCC-11-5,MFCC-12-5,MFCC-13-5,MFCC-1-50,MFCC-2-50,MFCC-3-50,MFCC-4-50,MFCC-5-50,MFCC-6-50,MFCC-7-50,MFCC-8-50,MFCC-9-50,MFCC-10-50,MFCC-11-50,MFCC-12-50,MFCC-13-50,mean_silence,silence_ratio,wps
1,1056.9174,3945.161,145.3875,0.0220817325055027,0.1710764246757973,0.0031358134584532,0.0329631073771109,1549.6070500600424,80.74951172,-116.66233765744694,69,281,2,38.19850340136055,38.47714285714286,-186.9444,160.69057,52.174416,87.502174,34.144176,33.923355,25.12791,32.585636,18.374012,29.710646,14.110991,18.655115,15.776823,-487.77502,24.944677,-50.255817,-1.3323386,-23.239027,-24.88251,-21.33445,-5.9110394,-41.061592,0.29972127,-19.948885,-10.321373,-10.114673,-337.2263,95.26819,12.565115,33.657074,17.795862,13.699347,6.6840525,13.239935,0.34842512,14.659489,-0.8350218,4.521451,4.6297026,19.099251700680277,0.9927583122058506,1.7932724437513925
1,1231.8457,3999.172,145.56432,0.0265708000746378,0.1325853935543565,0.0067832980414301,0.1238946052751457,2344.817369187901,89.10290948,-78.25382429532267,69,281,27,29.605442176870746,31.83650793650793,-156.77448,165.40178,69.58971,85.877235,44.65056,41.035828,26.746113,11.823925,12.81964,9.249479,13.842071,16.954952,8.623701,-493.70618,-62.18316,-32.372818,3.5436757,-25.604267,-15.918163,-19.740074,-27.146376,-29.062775,-32.224915,-26.487236,-11.144788,-23.778814,-259.27084,92.072235,21.377731,28.93081,10.873656,12.5404415,5.1156263,-5.511585,-1.6030574,-9.623482,-4.7970996,2.8845892,-5.837617,1.0964978584026202,0.9299211532845676,2.167323129082116
1,958.29065,3445.449,145.67374,0.0180435860602581,0.0962894382497858,0.0044783296168206,0.0891488882211538,1939.5748962818748,123.046875,-71.63074211960677,6,22,2,2.275555555555556,2.4059410430839003,-143.4997,157.36139,58.24968,46.33091,27.272806,29.36165,14.7766485,19.815,19.484425,12.779377,14.073961,20.55509,11.641631,-437.56802,65.053024,-52.262653,-11.958386,-19.885471,-26.512936,-26.759539,-18.266266,-20.600668,-17.41679,-25.563023,-5.34539,-21.940508,-224.88861,109.88264,-5.9644966,17.193686,5.355025,8.362977,-8.354357,2.1889663,2.716321,-0.10648166,0.33688745,5.121064,-5.3626766,1.137777777777778,0.9458068650920812,2.493826695067011
0,1396.5417,3998.8948,145.41223,0.0272900771655568,0.0889012450057843,0.0148927387971445,0.0970539411374451,1832.059112513784,123.046875,-101.53301292023268,69,281,31,22.15183673469388,31.69922902494331,-157.29002,192.7261,43.07605,79.136406,48.358734,26.882317,17.147171,15.325716,11.736038,14.635867,11.054953,11.970717,4.2832484,-390.5503,0.0,-35.838486,0.0,-15.867452,-30.470549,-26.098484,-25.266151,-25.737206,-21.464298,-25.1282,-17.350185,-23.465988,-266.4633,114.76721,5.6455746,28.399181,16.211884,4.7707434,0.0,0.019284789,-3.64756,-1.3466749,-3.6757896,-2.3042326,-8.054953,0.7145753785385123,0.6988131073239405,2.17670909111719
1,1633.8677,3999.7632,145.36313,0.0216210987189453,0.1038554564664848,0.0013692209986504,0.1409501774569268,2534.6111683881727,112.34714674,-134.91406976567893,69,281,35,22.430476190476192,33.0,-205.85869,167.84583,49.279903,90.18739,46.729156,32.265842,22.38474,12.295204,14.729074,25.353191,12.183217,13.722191,17.656412,-511.39664,-56.785744,-47.73743,-7.779421,-24.402582,-34.237972,-22.579605,-40.472595,-39.05975,-12.850533,-30.319626,-15.405324,-14.18158,-351.64096,83.94715,6.730506,29.011816,15.96222,5.3853135,3.8248887,-5.2335443,-1.8480897,5.9436226,-2.25126,-0.26082882,-0.28935716,0.6408707482993198,0.6797113997113997,2.090909090909091
0,1043.3937,3974.3835,152.72447,0.0257779461606412,0.1088057388002498,0.0009765670938729,0.0559910765481651,1740.7018552512943,135.99917763,-85.45554636535665,2,10,1,2.523174603174603,2.523174603174603,-245.90047,137.5689,35.36899,95.947,32.69529,23.86613,20.2188,3.072259,30.147785,0.2772301,13.142273,30.624796,5.3494434,-497.72018,64.825264,-70.914955,22.612549,-14.625586,-37.71788,-4.0041466,-46.04855,-1.7341723,-24.50297,-29.618233,-4.0219016,-25.956686,-379.21152,110.44253,-3.4984212,45.311947,4.331713,4.296508,7.041088,-15.557493,12.058737,-10.459963,-10.794445,12.520789,-6.0751534,2.523174603174603,1.0,0.7926522395571213
0,1685.1119,3999.5852,145.6659,0.0213560288883015,0.0894084068437476,0.0050746167726343,0.1507531888455623,2503.981083328545,151.99908088,-111.679084056145,69,281,28,19.458321995464846,26.421179138322,-185.20139,158.43979,31.283245,56.38739,23.385244,27.013735,8.84186,6.663701,4.453223,5.8779745,6.7603464,9.437207,3.9954164,-428.8627,-12.638287,-56.36019,-17.607841,-23.841478,-26.480606,-27.945433,-31.274488,-45.011086,-27.4275,-23.561611,-22.019835,-20.000988,-280.3939,83.61041,-1.6180005,16.22007,1.6076453,7.5455017,-5.908982,-7.295914,-12.740657,-7.6431456,-6.664055,-3.8658643,-6.9258633,0.6949400712666016,0.7364668281303905,2.611541280529775
0,1383.9468,3973.5286,148.644,0.0152068041454336,0.0735485934567048,0.0082747630111045,0.0721558988764045,2112.056001712507,123.046875,-46.0849376354986,6,15,2,1.9708390022675737,2.063718820861678,-129.12367,143.01447,86.59663,85.223526,37.30113,18.604141,41.173992,23.412777,13.409691,19.0713,26.348257,10.174468,16.770342,-377.75494,33.397797,-72.45333,-9.732992,-33.975986,-41.39745,-21.355274,-10.854852,-24.651094,-10.774928,-10.20161,-19.5375,-14.662744,-238.86346,84.93672,0.29030192,31.180819,9.888351,-0.14286137,1.520789,6.815591,-2.0415597,2.0124907,7.2673078,-8.434771,0.9787719,0.9854195011337868,0.954993956708054,2.907372816174047
1,1465.3152,3999.6648,145.39381,0.020371015867976,0.0890011473761586,0.0073721896690449,0.1582276965725806,2497.038193834084,143.5546875,-114.97704920651684,69,281,46,23.916553287981856,35.98548752834467,-105.20152,181.5076,40.70317,55.66041,37.213406,29.419392,10.877215,13.678943,4.2881374,5.6919785,0.503307,2.0363624,7.7422843,-525.5808,-47.160805,-72.39728,-40.17795,-50.266098,-52.482376,-39.006935,-36.32027,-41.682728,-30.15659,-44.393356,-28.805834,-24.446478,-279.8471,84.40362,-9.484921,2.994287,-0.7797539,0.37317312,-11.926233,-4.3061934,-13.267138,-8.356768,-13.172247,-11.427377,-9.867293,0.5199250714778664,0.6646166254978071,1.9174396330090235
1,692.27057,3960.8286,145.45409,0.0179422214875933,0.1284668636181762,0.0009377938125513,0.0642274100825471,2225.098897075537,135.99917763,-25.985415379519026,0,0,1,2.439002267573696,2.439002267573696,-267.409,135.38734,68.141655,43.231133,26.043335,14.778965,21.862022,39.351677,10.661813,12.186924,37.279114,13.566382,4.4238677,-434.0621,24.93842,-0.91182745,-23.69835,-37.941406,-30.212906,-25.422262,-4.512466,-20.552841,-25.68704,-2.5188365,-16.219269,-21.990696,-327.45496,106.68681,42.84068,20.966177,-8.28351,-9.717945,-3.6389844,21.543442,-6.6740427,-7.2980995,15.12493,-5.088859,-7.9258304,2.439002267573696,1.0,0.0
