Id,gender,mean_pitch,max_pitch,min_pitch,jitter,shimmer,energy,zcr_mean,spectral_centroid_mean,tempo,hnr,num_words,num_characters,num_pauses,silence_duration,duration,spectral_bandwidth,spectral_rolloff,MFCC-1-95,MFCC-2-95,MFCC-3-95,MFCC-4-95,MFCC-5-95,MFCC-6-95,MFCC-7-95,MFCC-8-95,MFCC-9-95,MFCC-10-95,MFCC-11-95,MFCC-12-95,MFCC-13-95,MFCC-1-5,MFCC-2-5,MFCC-3-5,MFCC-4-5,MFCC-5-5,MFCC-6-5,MFCC-7-5,MFCC-8-5,MFCC-9-5,MFCC-10-5,MFCC-11-5,MFCC-12-5,MFCC-13-5,MFCC-1-50,MFCC-2-50,MFCC-3-50,MFCC-4-50,MFCC-5-50,MFCC-6-50,MFCC-7-50,MFCC-8-50,MFCC-9-50,MFCC-10-50,MFCC-11-50,MFCC-12-50,MFCC-13-50,MFCCD-1-95,MFCCD-2-95,MFCCD-3-95,MFCCD-4-95,MFCCD-5-95,MFCCD-6-95,MFCCD-7-95,MFCCD-8-95,MFCCD-9-95,MFCCD-10-95,MFCCD-11-95,MFCCD-12-95,MFCCD-13-95,MFCCD-1-5,MFCCD-2-5,MFCCD-3-5,MFCCD-4-5,MFCCD-5-5,MFCCD-6-5,MFCCD-7-5,MFCCD-8-5,MFCCD-9-5,MFCCD-10-5,MFCCD-11-5,MFCCD-12-5,MFCCD-13-5,MFCCD-1-50,MFCCD-2-50,MFCCD-3-50,MFCCD-4-50,MFCCD-5-50,MFCCD-6-50,MFCCD-7-50,MFCCD-8-50,MFCCD-9-50,MFCCD-10-50,MFCCD-11-50,MFCCD-12-50,MFCCD-13-50,MFCCDD-1-95,MFCCDD-2-95,MFCCDD-3-95,MFCCDD-4-95,MFCCDD-5-95,MFCCDD-6-95,MFCCDD-7-95,MFCCDD-8-95,MFCCDD-9-95,MFCCDD-10-95,MFCCDD-11-95,MFCCDD-12-95,MFCCDD-13-95,MFCCDD-1-5,MFCCDD-2-5,MFCCDD-3-5,MFCCDD-4-5,MFCCDD-5-5,MFCCDD-6-5,MFCCDD-7-5,MFCCDD-8-5,MFCCDD-9-5,MFCCDD-10-5,MFCCDD-11-5,MFCCDD-12-5,MFCCDD-13-5,MFCCDD-1-50,MFCCDD-2-50,MFCCDD-3-50,MFCCDD-4-50,MFCCDD-5-50,MFCCDD-6-50,MFCCDD-7-50,MFCCDD-8-50,MFCCDD-9-50,MFCCDD-10-50,MFCCDD-11-50,MFCCDD-12-50,MFCCDD-13-50,mean_silence,silence_ratio,wps
0,1,1056.9174,3945.161,145.3875,0.0220817325055027,0.1710764246757973,0.0031358134584532,0.0329631073771109,1549.6070500600424,80.74951172,-116.66233765744694,69,281,2,38.19850340136055,38.47714285714286,[2432.03341997],[3074.27884615],-251.15761,190.4287,57.598717,79.16866,57.208828,31.518877,29.65556,21.007801,38.66874,15.456664,20.647844,24.72104,12.991947,-503.33237,62.573708,-61.21163,0.44875532,-15.856358,-13.718451,-19.933342,-25.141035,-0.4949628,-21.59199,-24.949034,0.15463856,-16.647041,-385.07272,112.95876,4.419198,32.60135,22.333092,16.95481,12.669212,4.8503723,13.898865,2.0760229,6.717602,11.378736,0.83319277,23.752602,11.785986,10.159222,5.6957526,4.981246,3.3563695,3.6980045,3.2201672,2.9801867,3.0675392,3.107342,2.0042632,2.295246,-18.02367,-8.444417,-11.910989,-5.5616617,-5.283948,-3.5739439,-4.3328094,-3.7251728,-2.998805,-3.3370242,-3.5879633,-2.0352933,-2.57099,-1.6410457,-0.64373016,0.63659585,-0.013139979,-0.0011507148,0.07385062,0.12030963,0.12506536,-0.0032402938,0.04492782,0.06585582,0.029279694,0.049269542,8.519793,4.0070925,4.7309074,2.4656572,2.2026453,1.5505043,1.7765269,1.7185057,1.5365455,1.6954857,1.609782,1.192819,1.335598,-8.180932,-4.0140452,-5.0230703,-2.423139,-2.246187,-1.6749024,-1.7982761,-1.6724705,-1.5318056,-1.6014752,-1.454916,-1.2171618,-1.2916859,-0.1473431,0.030540334,0.121749595,-0.0034966571,0.009255277,0.011976663,-0.0046962798,0.00054763403,-0.009943813,-0.041269865,-0.025087139,-0.002847175,-0.021140458,19.099251700680274,0.9927583122058506,1.7932724437513923
1,1,1231.8457,3999.172,145.56432,0.0265708000746378,0.1325853935543565,0.0067832980414301,0.1238946052751457,2344.817369187901,89.10290948,-78.25382429532267,69,281,27,29.605442176870746,31.836507936507935,[2894.21754163],[4790.12108948],-214.68686,198.08342,48.92204,100.863075,57.469265,48.80757,25.931007,28.184336,18.790112,9.712791,17.210283,7.013582,14.599363,-511.2672,-12.426288,-58.099083,0.7389027,-39.112026,-14.12134,-17.34905,-13.319783,-21.185444,-27.50775,-20.217888,-32.741203,-20.226078,-307.59085,126.664505,-0.27264693,43.32598,9.926191,19.442703,6.444494,8.725793,-1.096595,-5.5676904,2.012869,-11.174152,-2.4586644,20.813833,18.31135,9.549403,7.751747,6.5548873,4.2522645,3.4728973,3.1797943,3.1506846,2.928973,2.8131676,3.0249896,2.585062,-20.209785,-18.39164,-9.94973,-6.117797,-6.8413982,-4.23603,-3.7552402,-3.3692482,-3.3929043,-3.0933943,-3.1264532,-3.2117136,-2.5591843,-0.32272035,-0.1126009,-0.019257067,-0.27750072,0.07268043,-0.010479832,-4.460017e-05,0.011426018,0.032103077,-4.3797492e-05,0.04354937,0.05421327,4.4266385e-06,9.370221,6.5691376,4.606666,2.81928,2.5724895,1.8033015,1.7810593,1.6184161,1.7138209,1.6877512,1.5888455,1.5774454,1.2800665,-7.9683514,-5.96577,-4.621349,-2.9272618,-2.61576,-1.8247211,-1.8490342,-1.5539607,-1.6674716,-1.5395685,-1.6106075,-1.460058,-1.2978724,-0.13244791,-0.12283916,-0.017386349,0.011715117,0.0083351815,0.008912409,0.030218458,0.0039395913,-0.0015673256,-0.01196688,0.003956983,-0.02146073,8.6917506e-05,1.0964978584026202,0.9299211532845675,2.167323129082116
2,1,958.29065,3445.449,145.67374,0.0180435860602581,0.0962894382497858,0.0044783296168206,0.0891488882211538,1939.5748962818748,123.046875,-71.63074211960677,6,22,2,2.275555555555556,2.405895833333333,[3058.53249225],[4689.6778208],-204.4932,204.33307,17.336782,84.58296,22.85554,45.7115,16.018406,16.695097,14.349984,16.95117,20.261908,8.598351,16.32593,-479.75992,96.66199,-48.176987,-9.469053,-56.34914,-10.790167,-35.49881,-18.312744,-20.075184,-16.280516,-13.830608,-19.40903,-19.972351,-287.97394,151.74734,-14.384358,29.432041,-0.75317514,21.297087,0.17717466,2.0821807,-4.0295267,3.028016,2.4763288,-2.4967115,-0.07518351,16.160814,7.302377,6.60589,5.758954,5.209242,3.58363,4.143075,3.636292,2.07976,3.4847493,2.2722197,2.4647083,3.0854173,-11.430887,-6.909767,-6.825046,-5.6926055,-4.5707765,-3.0096622,-2.8181958,-3.8894343,-3.0838907,-2.5723085,-2.340665,-2.2733808,-2.4363427,-1.113415,-0.12776439,0.18166305,-0.35459805,-0.60892034,-0.25484782,-0.3507511,0.0010018745,0.39999336,-0.2696,-0.028002683,-0.02097341,-0.11580658,6.0132437,3.2581875,3.357411,2.6752172,2.683341,1.9034182,1.6201103,1.799449,1.2502996,1.2380928,1.0142901,1.3407645,1.6053376,-7.7892275,-4.2931514,-2.9714909,-2.709442,-2.3899744,-1.6010787,-1.645749,-1.7656329,-1.4604828,-1.2780979,-1.3348652,-1.2944298,-1.7681526,-0.53291893,-0.12411092,0.016545791,-0.06210375,0.0724729,-0.040753175,-0.0035673059,0.027383652,0.024259813,-0.0033329614,0.096077666,-0.018473107,0.08409318,1.137777777777778,0.9458246379698024,2.4938735571469395
3,0,1396.5417,3998.8948,145.41223,0.0272900771655568,0.0889012450057843,0.0148927387971445,0.0970539411374451,1832.059112513784,123.046875,-101.53301292023268,69,281,31,22.15183673469388,31.69922902494331,[3336.08068026],[5622.92567183],-212.65294,214.0683,58.335667,77.720184,60.426968,40.916313,17.389614,17.909206,14.054181,10.813479,14.916232,11.330886,11.780506,-414.0323,51.182632,-51.66644,-11.343164,-5.5268884,-5.8095503,-29.307823,-19.323687,-21.221632,-22.412024,-19.345945,-20.165638,-20.275585,-314.26813,122.95612,13.928503,18.663055,19.830746,15.244825,1.8314291,3.5356503,0.5852846,-1.1480081,-2.4375968,-1.8548611,-1.5629399,18.949474,15.658102,9.9160385,7.2792797,5.4122076,3.4905453,4.336629,3.1482687,3.1563737,2.6907697,2.7866554,2.418159,2.4498572,-16.964897,-14.406527,-10.476967,-8.026535,-4.903187,-3.357441,-4.324118,-3.129079,-3.0186207,-2.8525796,-2.7520022,-2.4532552,-2.6214623,-0.56898373,-0.39273605,0.2508725,0.11794745,0.0,-0.008195583,-0.005901162,0.011600534,0.0,0.0,0.0,0.0,0.017640766,8.604962,6.279418,4.9530096,3.1716292,2.4116676,1.6707486,2.0854936,1.6383948,1.6052966,1.5039244,1.4924138,1.3689382,1.2560264,-7.953184,-6.104076,-4.991872,-3.363338,-2.4680946,-1.647469,-1.932991,-1.5946605,-1.5208797,-1.4266517,-1.4656882,-1.2336558,-1.2692477,-0.044709772,-0.017511755,0.032805055,0.02949422,0.0,0.015139295,0.0,-0.0031652616,0.0,-0.026675178,-0.004555883,-0.02933257,0.0,0.7145753785385123,0.6988131073239405,2.17670909111719
4,1,1633.8677,3999.7632,145.36313,0.0216210987189453,0.1038554564664848,0.0013692209986504,0.1409501774569268,2534.6111683881727,112.34714674,-134.91406976567893,69,281,35,22.430476190476192,33.0,[3631.22810894],[6609.16338856],-250.23592,188.71255,41.481247,88.30943,60.007793,49.875603,17.074522,32.008274,10.491872,18.489136,15.225528,22.07375,11.743861,-533.2861,-24.191833,-58.21923,-17.165674,-25.676573,-9.200384,-43.43206,-7.928381,-38.380028,-33.785805,-24.60928,-12.881141,-23.99645,-394.13443,93.60043,2.8439493,22.041996,19.800253,18.724918,-0.612586,8.968758,-6.86814,0.18027732,0.07055104,5.2353473,-0.8750696,22.697165,16.90321,7.4093456,7.4688964,6.1212893,4.237478,4.6182795,3.4543474,4.0692554,3.931998,2.9210203,2.9148464,2.6924033,-20.558619,-16.001423,-8.467473,-6.794894,-6.7995095,-3.9393833,-5.1708865,-3.6920376,-4.5229115,-4.178377,-3.1641002,-2.852864,-3.046126,-0.45869446,-0.103014626,0.27226087,-0.09061726,0.023967361,-0.017615747,0.070551224,0.039131355,0.046080463,0.008960684,0.038003497,-0.009627486,0.058587126,9.926004,6.07602,3.4300942,2.9722664,2.624541,1.9237084,2.3995278,1.8925176,2.1859703,1.8860956,1.6681356,1.627829,1.4574805,-9.05979,-5.550061,-3.712938,-2.8559341,-2.6753104,-2.1121917,-2.3389902,-1.8721169,-2.0632534,-1.829773,-1.5849358,-1.5101794,-1.4080541,-0.046037417,-0.07853692,0.03386097,-0.005420394,-0.023038402,0.05139729,0.0002427292,-0.02850156,-0.010924329,-0.010433349,-0.013430911,-0.013935126,-0.013031495,0.6408707482993198,0.6797113997113997,2.090909090909091
5,0,1043.3937,3974.3835,152.72447,0.0257779461606412,0.1088057388002498,0.0009765670938729,0.0559910765481651,1740.7018552512943,135.99917763,-85.45554636535665,2,10,1,2.523174603174603,2.5231458333333334,[3403.88825832],[4273.4375],-308.46777,192.47105,33.680862,62.594753,57.491184,38.47539,21.434196,26.806334,6.862625,8.943678,37.086987,0.8713218,9.781144,-540.48737,119.27449,-80.80142,4.810493,1.8259721,-3.8687348,-44.4866,-3.838959,-24.737469,-37.458748,0.03056775,-22.748295,-36.193977,-435.96057,151.03163,-8.184164,33.813934,27.67426,9.074207,-2.3713903,12.454798,-3.224663,-9.894355,12.859813,-9.866586,-12.300046,17.97166,4.746911,8.427041,3.1352036,3.5848727,3.4055104,3.9666326,1.8777022,2.5841355,3.4725902,3.408268,1.8079764,4.1697206,-13.219495,-3.9333875,-11.352145,-3.849762,-4.6842084,-3.7785878,-4.3328676,-2.2530134,-3.8137136,-4.531411,-3.3385103,-1.9190186,-3.8381243,-2.7448497,0.0137992855,0.90166944,-0.2543745,0.27029106,0.23327094,0.2664636,0.052335627,0.20554855,0.08359853,-0.12834436,-0.06383616,-0.041196488,7.955468,2.3363228,3.3394246,1.9245346,2.4765067,1.7285745,2.1985433,1.4560844,1.737738,2.34902,1.4716607,1.0263987,1.739634,-5.815834,-2.2029784,-3.9436162,-1.8921237,-2.2331674,-1.992581,-2.4887898,-1.300032,-1.3867453,-2.1891246,-1.5143124,-0.9277874,-2.0327895,-0.079772286,0.02344792,0.03192734,-0.10258674,0.006275078,0.11000203,0.020900851,-0.065480955,-0.0762761,-0.13382736,-0.019279217,-0.014748583,0.08470674,2.523174603174603,1.0000114023695696,0.7926612776708969
6,0,1685.1119,3999.5852,145.6659,0.0213560288883015,0.0894084068437476,0.0050746167726343,0.1507531888455623,2503.981083328545,151.99908088,-111.679084056145,69,281,28,19.458321995464846,26.421179138321996,[3735.46440012],[7177.47262107],-231.16833,184.04578,34.990284,60.165817,31.742239,29.22013,16.875145,21.241776,3.6563241,14.125131,1.7967105,10.5955105,6.015181,-454.6007,0.5712638,-51.726723,-27.581055,-25.738966,-10.953865,-32.928593,-16.139389,-31.378576,-31.175941,-36.440834,-20.721193,-19.633522,-318.82642,106.01657,-5.299261,16.180025,4.423814,9.381599,0.14289492,1.682197,-11.213867,-2.7065012,-14.021494,-3.381073,-5.8527803,20.770403,15.545512,7.6993866,6.2367516,4.887362,3.4788117,3.822832,3.7757545,2.5690958,3.529216,3.0779448,2.5349374,2.1728902,-17.053072,-14.226555,-8.335748,-6.4753695,-5.1398554,-3.5726175,-4.2912445,-3.6038723,-2.671339,-3.9678245,-3.4171576,-2.9051332,-2.3117495,-0.44820455,-0.30504355,0.009025986,0.00398683,0.0039848583,0.016581796,0.014265005,-0.004352033,0.00838897,0.020675106,0.0035722717,0.028524384,0.026650142,9.737507,6.5821195,4.238862,3.0842924,2.7213774,1.7926829,2.170648,2.0309086,1.5366204,1.9867849,1.7259433,1.6922166,1.316113,-9.154357,-6.026591,-4.3287063,-2.8798294,-2.4797537,-1.8629718,-2.0891361,-2.0939345,-1.4805409,-1.7510686,-1.6506307,-1.5463524,-1.2825487,-0.08726052,-0.012200285,0.002377435,-0.0099177295,0.0,0.0013572399,-0.0036645378,0.000366082,-0.002855564,-0.012126861,0.0,-0.0057485476,-0.0036347439,0.6949400712666016,0.7364668281303905,2.611541280529775
7,0,1383.9468,3973.5286,148.644,0.0152068041454336,0.0735485934567048,0.0082747630111045,0.0721558988764045,2112.056001712507,123.046875,-46.0849376354986,6,15,2,1.9708390022675737,2.0636875,[4577.99409107],[7981.5560567],-191.33968,168.05986,47.776535,94.53969,53.295086,45.57973,6.6025643,36.766624,16.035528,26.192495,6.8477564,19.431927,19.470728,-407.2892,39.353745,-62.86422,-13.457283,-22.954035,-10.88506,-45.68327,-13.031249,-18.774792,-13.65096,-24.076115,-9.469202,-12.745283,-284.09232,101.96648,11.539156,32.85411,14.760036,21.380846,-10.632177,11.837702,-3.1034255,8.854372,-6.746727,1.7613356,6.019206,28.448433,16.199541,11.592856,7.416098,5.8962183,3.9664648,4.0713835,3.6003015,3.0711658,3.3327096,3.2516837,2.6778133,2.751394,-20.120886,-10.428437,-11.154481,-6.7543263,-5.3704047,-3.8980055,-4.260653,-3.658701,-3.0764487,-3.2233388,-3.352256,-3.0392096,-3.0089755,-0.9717941,-1.1188933,-0.46804875,-0.5279634,-0.08666965,-0.07705684,-0.23282833,0.060801044,0.26468995,0.055746026,0.20415935,0.28135973,-0.050113425,10.589378,8.091495,4.7538247,4.458098,2.879552,1.8272064,1.8930085,1.8443866,1.9952414,1.3496546,1.6580908,1.778473,1.6335995,-8.282199,-7.180921,-4.5825295,-4.585762,-2.7399743,-1.9217168,-2.1245968,-2.0470288,-2.0937848,-1.3704945,-1.6007165,-1.5052438,-1.8087696,-0.16154262,-0.008142661,0.2953931,-0.044796206,-0.13026775,-0.051764436,0.027739165,0.10978226,-0.04727123,-0.122207806,-0.017401269,-0.014725328,0.11063,0.9854195011337868,0.9550084507792841,2.9074169417608045
8,1,1465.3152,3999.6648,145.39381,0.020371015867976,0.0890011473761586,0.0073721896690449,0.1582276965725806,2497.038193834084,143.5546875,-114.97704920651684,69,281,46,23.916553287981856,35.98546485260771,[3184.02333067],[6210.59255292],-171.70685,214.83214,47.61516,59.172962,40.93152,35.764034,20.761097,10.179513,16.174894,6.541848,5.607137,5.6091366,2.3213542,-526.06934,1.1245167,-68.31609,-35.870823,-59.620827,-35.08465,-46.872776,-31.33701,-28.974546,-35.159126,-32.10599,-25.715374,-34.306698,-329.23495,106.391075,-5.566988,8.620596,-0.73114884,4.565999,-0.4764911,-7.468797,-3.5817924,-7.1016645,-8.11812,-7.068017,-9.960907,28.86283,19.984325,9.562171,6.783557,7.5836134,4.372738,4.750309,3.0565894,3.4128625,3.26946,2.9429996,2.7983668,3.0705106,-22.892546,-17.628294,-10.217733,-6.322291,-7.724031,-4.5239606,-4.872135,-3.29519,-3.6287224,-3.4869094,-3.2341497,-2.6468678,-3.1124701,-1.08807,-0.41545653,0.11883001,-0.09865305,0.061176836,-0.019827712,0.021270879,0.11668675,0.02858555,0.017431369,0.011167841,-0.04126208,0.01087211,11.621841,7.5682907,4.594951,3.3635712,3.387983,2.1718035,2.1869042,1.7121187,1.859168,1.8623883,1.6203332,1.7051092,1.6035908,-9.938219,-7.5088615,-4.9249945,-3.359994,-3.2627418,-2.188093,-2.299858,-1.627115,-1.8166189,-1.7099196,-1.6384798,-1.5412619,-1.5280157,-0.18145868,-0.045507826,0.0963587,-0.009447986,-0.030811818,-0.027803246,-0.000885049,-0.013151503,-0.029116005,-0.022992857,0.0051156343,-0.027807267,-0.0024815288,0.5199250714778664,0.6646170442966703,1.9174408412567683
9,1,692.27057,3960.8286,145.45409,0.0179422214875933,0.1284668636181762,0.0009377938125513,0.0642274100825471,2225.098897075537,135.99917763,-25.985415379519026,0,0,1,2.439002267573696,2.439,[5600.78490222],[11221.85453057],-302.91776,140.9957,65.54802,61.592075,20.832611,33.476715,-0.65132624,30.387266,20.93898,36.434166,0.8565497,16.996845,23.10231,-444.6333,26.20531,3.1458664,2.6066976,-36.56643,-17.100708,-40.098267,-11.832751,-27.028017,3.0305538,-28.876057,-16.607159,-10.97067,-353.9661,112.8376,36.816612,42.929794,0.8828572,9.029384,-18.863823,7.0236588,2.3256235,22.165098,-16.520035,-1.8289789,6.243511,14.456782,10.01428,5.7316694,6.1364713,5.52125,4.073754,2.860439,3.1514354,4.6216054,2.4828296,2.693854,2.9642677,3.4418933,-12.036486,-9.2608185,-4.6279564,-5.325338,-6.771599,-5.5882335,-2.7797132,-3.2832646,-4.5152926,-2.3303783,-3.3086414,-3.220266,-2.7338412,-0.3297643,-0.23057315,-0.029382324,0.03367828,0.23007047,0.5623809,-0.09601777,0.09778606,0.022415154,0.11231091,-0.19446059,-0.11744656,0.0743403,6.640115,5.02612,2.3060753,2.8830545,2.9409232,2.327374,1.2610327,1.9131079,2.1425595,1.7447014,1.6273601,1.5613176,1.9345355,-5.655066,-4.089802,-2.718279,-3.010305,-2.8142726,-2.1892138,-1.1870886,-2.1183152,-2.2002602,-1.5070281,-1.4700503,-2.072468,-1.673165,-0.34428042,-0.28309092,0.052394006,0.088146955,0.088421926,0.094119675,0.027509686,-0.028834714,-0.10788063,0.099599764,0.06553208,-0.03826444,0.00071841816,2.439002267573696,1.0000009297145125,0.0
