Id,MFCC-0,MFCC-1,MFCC-2,MFCC-3,MFCC-4,MFCC-5,MFCC-6,MFCC-7,MFCC-8,MFCC-9,MFCC-10,MFCC-11,MFCC-12,MFCC-13,MFCC-14,MFCC-15,MFCC-16,MFCC-17,MFCC-18,MFCC-19
0,-369.4439,55.719803,-20.171635,1.8585222,-11.094905,-21.289158,-6.3049574,-15.065153,-22.393007,-9.544334,-18.218872,1.7202408,-12.180187,-4.6474714,-5.2384944,-10.804947,-8.165753,-7.304347,-9.608989,-4.2794766
1,-291.22845,122.43052,-5.1334147,40.160713,8.176088,-6.4164267,-2.4701025,-4.7958975,3.6192076,-9.02993,-7.310493,0.6129723,-13.489492,0.2883258,-0.2693906,-6.931798,-2.949083,-1.8035845,-4.289306,-3.970128
2,-304.4701,72.079865,19.172226,23.241705,13.3419285,6.166941,4.1475544,1.0362844,-8.732477,9.563224,0.71796817,0.26492715,3.0944877,7.770575,1.1808109,0.77756435,-0.26588035,4.134362,-2.0955763,0.48949277
3,-254.58536,38.09347,27.63561,29.920958,-9.363456,-17.644886,-31.449415,-8.6426735,-19.031883,-7.2908053,0.7422297,-10.182897,-10.793072,1.7270211,-13.7712965,-10.483311,-7.9425516,-8.953679,-11.463097,-1.8260868
4,-273.52243,112.78362,-2.4795556,33.58901,28.171602,-3.9433713,-0.31451836,13.82882,-18.041641,-1.6879393,0.34763533,-6.4249897,2.5615025,0.41050836,4.3475623,4.579807,-4.6496563,-0.2955708,-0.031096652,2.5132444
5,-269.15067,99.87182,12.351866,14.15608,-3.1678133,-9.993891,-16.430668,1.10037,-11.661104,-8.169772,2.543458,-2.1096687,-10.113516,6.4036717,-8.35971,-14.6147,1.7355361,-9.238029,-1.4972184,-6.947885
6,-291.3013,77.62299,-10.308269,20.877464,-0.5461719,-5.5799074,-4.348573,-6.4494257,-10.522277,1.81961,-4.5956864,-1.0085223,-5.990701,0.91305494,-1.6404963,-1.199802,-6.7303605,1.6404266,-6.096527,-1.4931638
7,-301.04236,67.26617,6.524401,30.035515,17.906624,4.4287224,-0.069530696,-4.3609257,12.010677,11.318469,-4.905119,11.609563,-5.6933856,5.386338,-0.97615993,-1.9330695,-0.5998865,4.8823633,-0.9791255,-2.619502
8,-417.85434,115.27423,-0.34603244,17.084272,-7.7580075,-7.401515,3.9964993,-12.867927,-3.8110235,-2.1710575,2.7983105,-7.88114,-2.4636943,0.46201953,1.2685895,2.5911987,-8.471734,-0.2233977,-5.3023157,-1.6870307
9,-263.41354,122.232376,12.637509,35.77843,12.692002,-1.658937,10.190319,-0.6102109,-2.148034,4.564741,-1.3974602,0.77364576,6.788093,-6.0544844,-5.4751806,5.432138,-8.745268,1.0791302,-5.368619,3.5828192
