Id,Predicted
0,33.32
1,35.21
2,23.48
3,32.54
4,38.4
5,22.04
6,35.14
7,19.89
8,37.66
9,20.86
10,36.86
11,20.84
12,32.61
13,20.7
14,36.26
15,29.52
16,31.32
17,35.21
18,27.14
19,31.78
20,38.94
21,31.11
22,37.39
23,30.09
24,32.81
25,35.87
26,26.54
27,19.61
28,36.61
29,34.07
30,27.03
31,38.13
32,26.24
33,18.25
34,37.73
35,21.14
36,22.49
37,28.41
38,21.86
39,22.97
40,20.63
41,31.37
42,38.22
43,29.06
44,47.92
45,34.24
46,37.52
47,30.49
48,20.31
49,35.5
50,36.65
51,24.07
52,33.52
53,23.43
54,24.28
55,31.97
56,38.57
57,33.37
58,27.4
59,31.3
60,19.7
61,22.37
62,30.77
63,19.26
64,30.28
65,30.1
66,18.47
67,26.25
68,22.77
69,24.12
70,25.34
71,18.79
72,28.29
73,23.75
74,32.79
75,43.58
76,33.56
77,34.65
78,20.62
79,30.1
80,20.82
81,28.49
82,26.69
83,33.5
84,20.39
85,37.31
86,22.24
87,21.19
88,21.25
89,23.28
90,29.12
91,20.07
92,18.35
93,37.66
94,20.07
95,28.33
96,22.14
97,40.99
98,44.1
99,38.16
100,34.3
101,41.61
102,19.64
103,40.93
104,25.24
105,26.1
106,21.81
107,20.81
108,32.29
109,19.18
110,32.19
111,19.78
112,18.92
113,28.27
114,21.88
115,39.15
116,19.62
117,20.85
118,30.87
119,21.43
120,31.06
121,41.42
122,20.28
123,47.88
124,29.98
125,20.27
126,31.71
127,35.22
128,33.74
129,28.76
130,23.28
131,39.82
132,22.13
133,37.8
134,40.26
135,18.91
136,19.53
137,33.16
138,33.0
139,19.92
140,28.46
141,23.23
142,21.75
143,30.05
144,38.03
145,38.35
146,27.4
147,34.33
148,29.39
149,25.3
150,33.95
151,31.07
152,49.91
153,19.6
154,31.76
155,30.44
156,20.49
157,19.66
158,33.09
159,38.38
160,35.49
161,37.81
162,28.54
163,29.0
164,37.82
165,31.82
166,46.84
167,37.89
168,35.42
169,23.36
170,28.5
171,32.43
172,28.96
173,29.66
174,20.65
175,31.0
176,35.19
177,31.45
178,34.5
179,30.8
180,43.38
181,22.51
182,20.91
183,40.97
184,29.89
185,22.48
186,18.64
187,20.11
188,19.09
189,38.8
190,35.64
191,38.38
192,37.63
193,27.65
194,19.52
195,19.19
196,17.79
197,24.02
198,21.47
199,19.95
200,20.38
201,17.97
202,33.09
203,18.72
204,19.91
205,34.49
206,36.36
207,20.08
208,34.76
209,39.33
210,32.45
211,29.14
212,29.89
213,20.76
214,35.47
215,32.34
216,21.76
217,35.78
218,34.95
219,38.19
220,18.16
221,19.25
222,21.11
223,34.81
224,21.29
225,39.44
226,35.25
227,27.76
228,35.1
229,20.63
230,40.09
231,34.09
232,20.99
233,29.95
234,29.7
235,21.13
236,27.91
237,36.84
238,21.61
239,39.5
240,33.51
241,32.16
242,20.41
243,30.13
244,38.73
245,31.4
246,24.7
247,23.84
248,18.91
249,35.06
250,34.64
251,28.9
252,22.16
253,33.3
254,27.37
255,41.73
256,32.49
257,19.97
258,43.69
259,29.08
260,21.54
261,19.49
262,33.3
263,20.77
264,33.07
265,21.04
266,20.6
267,20.98
268,32.8
269,20.33
270,21.69
271,29.49
272,20.05
273,19.28
274,39.84
275,29.5
276,35.16
277,31.23
278,38.35
279,21.12
280,23.72
281,31.37
282,32.83
283,43.72
284,33.33
285,17.83
286,30.87
287,39.01
288,30.51
289,33.53
290,35.5
291,28.59
292,21.68
293,21.32
294,20.32
295,29.66
296,32.07
297,20.54
298,34.47
299,40.66
300,25.37
301,20.86
302,29.41
303,31.1
304,31.46
305,18.69
306,37.04
307,35.73
308,19.71
309,25.03
310,28.49
311,41.0
312,19.58
313,43.44
314,26.71
315,32.7
316,30.6
317,33.89
318,20.83
319,21.27
320,32.99
321,34.18
322,18.61
323,20.97
324,34.45
325,26.94
326,31.35
327,19.11
328,37.92
329,23.88
330,28.38
331,20.02
332,33.24
333,31.87
334,20.27
335,37.77
336,30.88
337,33.66
338,27.74
339,23.94
340,49.5
341,28.39
342,21.5
343,41.34
344,20.84
345,35.22
346,21.05
347,29.37
348,23.34
349,35.1
350,20.92
351,37.32
352,31.85
353,20.98
354,45.33
355,31.94
356,22.33
357,35.48
358,43.84
359,29.26
360,21.13
361,22.27
362,37.45
363,34.9
364,41.01
365,26.52
366,43.05
367,44.44
368,22.29
369,19.8
370,37.62
371,34.45
372,22.61
373,22.52
374,19.63
375,40.03
376,32.65
377,20.37
378,44.17
379,37.56
380,35.48
381,32.63
382,47.47
383,32.3
384,41.53
385,37.68
386,21.75
387,20.12
388,27.79
389,32.08
390,20.05
391,30.09
392,27.74
393,19.41
394,21.32
395,26.03
396,29.05
397,32.73
398,38.24
399,19.18
400,34.48
401,42.38
402,34.4
403,18.55
404,31.61
405,35.17
406,31.6
407,33.13
408,41.16
409,41.92
410,40.09
411,32.63
412,21.23
413,28.4
414,20.16
415,36.77
416,30.26
417,42.31
418,22.79
419,26.22
420,34.17
421,34.66
422,38.07
423,27.64
424,21.6
425,47.93
426,31.97
427,21.06
428,43.1
429,31.62
430,26.71
431,37.46
432,29.27
433,31.42
434,19.53
435,20.28
436,32.42
437,36.15
438,22.16
439,20.64
440,19.19
441,37.33
442,36.0
443,19.22
444,43.27
445,29.81
446,39.17
447,38.07
448,20.73
449,41.27
450,24.27
451,20.17
452,20.0
453,35.81
454,37.77
455,30.79
456,32.65
457,24.46
458,21.75
459,34.99
460,37.49
461,26.99
462,24.74
463,38.91
464,33.29
465,36.49
466,22.76
467,27.94
468,26.33
469,33.43
470,35.09
471,42.86
472,38.23
473,21.49
474,20.92
475,31.18
476,26.66
477,38.15
478,20.07
479,32.81
480,43.98
481,23.61
482,30.74
483,28.03
484,37.15
485,38.39
486,38.96
487,35.19
488,21.24
489,42.09
490,42.47
491,38.44
492,28.9
493,19.72
494,29.74
495,27.52
496,20.14
497,19.25
498,20.78
499,34.74
500,32.15
501,20.6
502,20.68
503,31.51
504,29.9
505,35.62
506,35.99
507,20.41
508,38.91
509,20.85
510,20.41
511,24.91
512,29.41
513,20.06
514,31.51
515,36.47
516,23.9
517,28.6
518,27.53
519,35.93
520,20.66
521,35.73
522,34.95
523,35.32
524,33.2
525,37.33
526,44.89
527,33.05
528,32.15
529,30.07
530,38.54
531,19.94
532,23.8
533,31.8
534,38.09
535,21.11
536,42.96
537,38.59
538,31.01
539,33.45
540,41.54
541,19.75
542,39.93
543,34.08
544,33.55
545,24.26
546,30.16
547,35.44
548,36.05
549,28.62
550,35.88
551,32.16
552,36.01
553,34.44
554,19.15
555,20.71
556,20.28
557,32.14
558,19.07
559,35.75
560,20.66
561,36.17
562,38.39
563,33.09
564,33.73
565,27.71
566,21.19
567,31.47
568,32.09
569,30.27
570,22.45
571,36.93
572,32.4
573,31.26
574,23.44
575,23.78
576,35.88
577,34.47
578,19.11
579,27.81
580,42.7
581,39.36
582,20.44
583,21.23
584,21.44
585,19.25
586,19.89
587,38.95
588,22.41
589,26.28
590,34.23
591,47.29
592,27.18
593,39.86
594,47.17
595,38.62
596,19.52
597,20.08
598,38.18
599,21.16
600,41.83
601,33.8
602,21.09
603,23.7
604,20.35
605,22.78
606,30.99
607,40.7
608,23.92
609,22.89
610,21.91
611,36.49
612,28.51
613,18.78
614,42.47
615,38.87
616,39.72
617,27.8
618,20.19
619,21.6
620,42.31
621,29.1
622,29.32
623,20.47
624,35.51
625,32.3
626,22.63
627,40.57
628,44.18
629,20.99
630,21.38
631,26.82
632,38.49
633,35.85
634,28.53
635,30.24
636,26.67
637,33.38
638,26.07
639,30.61
640,21.41
641,21.67
642,31.35
643,35.1
644,32.63
645,35.99
646,18.87
647,33.85
648,39.3
649,32.33
650,36.36
651,29.88
652,23.53
653,29.48
654,30.1
655,19.13
656,33.02
657,37.09
658,30.23
659,31.66
660,41.12
661,21.77
662,23.24
663,37.91
