Id,Predicted
0,21.0
1,46.0
2,22.0
3,23.0
4,25.0
5,44.0
6,28.0
7,17.0
8,50.0
9,16.0
10,18.0
11,18.0
12,27.0
13,17.0
14,60.0
15,20.0
16,18.0
17,26.0
18,19.0
19,18.0
20,26.0
21,39.0
22,57.0
23,20.0
24,40.0
25,42.0
26,21.0
27,18.0
28,84.0
29,18.0
30,66.0
31,39.0
32,19.0
33,17.0
34,24.0
35,19.0
36,29.0
37,78.0
38,18.0
39,49.0
40,19.0
41,36.0
42,25.0
43,31.0
44,55.0
45,47.0
46,56.0
47,55.0
48,20.0
49,33.0
50,61.0
51,26.0
52,42.0
53,18.0
54,27.0
55,24.0
56,35.0
57,54.0
58,21.0
59,55.0
60,21.0
61,18.0
62,42.0
63,18.0
64,22.0
65,20.0
66,22.0
67,24.0
68,29.0
69,20.0
70,18.0
71,18.0
72,18.0
73,17.0
74,24.0
75,26.0
76,18.0
77,30.0
78,20.0
79,32.0
80,18.0
81,47.0
82,21.0
83,29.0
84,17.0
85,48.0
86,21.0
87,26.0
88,20.0
89,17.0
90,30.0
91,21.0
92,20.0
93,25.0
94,16.0
95,24.0
96,26.0
97,21.0
98,44.0
99,35.0
100,19.0
101,27.0
102,18.0
103,31.0
104,21.0
105,33.0
106,29.0
107,20.0
108,20.0
109,17.0
110,29.0
111,21.0
112,22.0
113,31.0
114,18.0
115,27.0
116,31.0
117,20.0
118,55.0
119,21.0
120,27.0
121,50.0
122,17.0
123,54.0
124,31.0
125,32.0
126,28.0
127,43.0
128,28.0
129,24.0
130,19.0
131,18.0
132,15.0
133,52.0
134,21.0
135,16.0
136,20.0
137,26.0
138,22.0
139,28.0
140,21.0
141,31.0
142,16.0
143,20.0
144,47.0
145,50.0
146,27.0
147,66.0
148,19.0
149,46.0
150,47.0
151,18.0
152,84.0
153,17.0
154,68.0
155,29.0
156,16.0
157,23.0
158,46.0
159,30.0
160,47.0
161,45.0
162,32.0
163,21.0
164,65.0
165,40.0
166,42.0
167,18.0
168,24.0
169,20.0
170,39.0
171,19.0
172,29.0
173,52.0
174,20.0
175,23.0
176,43.0
177,31.0
178,28.0
179,20.0
180,52.0
181,22.0
182,19.0
183,57.0
184,45.0
185,17.0
186,16.0
187,22.0
188,18.0
189,31.0
190,26.0
191,19.0
192,49.0
193,44.0
194,31.0
195,17.0
196,57.0
197,18.0
198,24.0
199,20.0
200,19.0
