Id,Predicted
0,19.2
1,29.6
2,19.6
3,32.0
4,32.4
5,20.4
6,39.0
7,20.0
8,33.6
9,19.0
10,29.8
11,19.6
12,23.4
13,24.8
14,35.2
15,34.8
16,44.0
17,30.0
18,39.8
19,27.2
20,25.0
21,29.8
22,38.0
23,28.8
24,51.0
25,23.8
26,25.0
27,17.4
28,39.6
29,38.0
30,23.8
31,27.4
32,20.8
33,28.2
34,25.2
35,28.8
36,18.8
37,31.8
38,17.8
39,21.8
40,20.0
41,21.4
42,25.4
43,19.6
44,32.0
45,29.2
46,42.4
47,51.0
48,25.4
49,33.6
50,56.0
51,17.0
52,38.6
53,26.6
54,17.4
55,25.2
56,34.5
57,27.0
58,23.0
59,28.6
60,19.6
61,18.0
62,30.6
63,20.0
64,39.6
65,41.4
66,18.0
67,20.8
68,17.2
69,25.2
70,25.8
71,20.8
72,19.2
73,26.2
74,40.8
75,42.4
76,29.0
77,37.0
78,21.0
79,33.4
80,23.4
81,24.0
82,26.0
83,31.2
84,17.8
85,43.0
86,21.4
87,18.8
88,26.6
89,20.0
90,38.8
91,18.0
92,20.6
93,26.2
94,19.4
95,17.6
96,28.4
97,33.8
98,30.8
99,41.2
100,30.4
101,23.0
102,21.6
103,32.4
104,19.2
105,25.0
106,19.8
107,18.6
108,25.0
109,18.6
110,38.2
111,24.8
112,20.4
113,24.0
114,20.2
115,35.2
116,19.6
117,19.0
118,36.8
119,28.8
120,29.0
121,41.8
122,18.8
123,35.4
124,35.0
125,21.6
126,23.0
127,49.0
128,23.4
129,21.0
130,19.0
131,30.8
132,18.8
133,46.4
134,39.0
135,18.0
136,26.4
137,42.6
138,29.2
139,21.2
140,18.8
141,18.6
142,18.8
143,29.8
144,29.6
145,40.6
146,21.6
147,32.2
148,17.0
149,36.0
150,34.0
151,27.2
152,33.6
153,18.6
154,28.2
155,26.6
156,18.4
157,22.6
158,46.6
159,23.2
160,19.8
161,25.0
162,29.2
163,21.8
164,36.8
165,31.6
166,36.8
167,22.4
168,34.4
169,23.4
170,23.0
171,41.0
172,24.2
173,39.6
174,21.8
175,27.4
176,39.0
177,39.6
178,37.7
179,38.6
180,41.2
181,19.0
182,19.6
183,25.8
184,29.6
185,19.4
186,17.8
187,22.4
188,20.8
189,34.4
190,40.0
191,34.2
192,26.8
193,21.2
194,17.8
195,22.4
196,19.8
197,21.6
198,21.6
199,20.0
200,19.0
201,39.0
202,26.8
203,27.0
204,18.8
205,44.0
206,38.2
207,27.8
208,33.2
209,30.2
210,27.8
211,27.6
212,28.0
213,19.8
214,24.4
215,40.0
216,20.8
217,23.2
218,36.0
219,28.2
220,20.4
