Id,Predicted
0,41.79
1,33.95
2,24.24
3,33.745
4,31.48
5,24.95
6,38.97
7,20.17
8,36.18
9,21.99
10,44.33
11,20.69
12,32.81
13,19.74
14,33.84
15,31.27
16,36.09
17,27.34
18,25.64
19,25.9
20,35.79
21,34.97
22,47.3
23,32.185
24,30.63
25,39.455
26,27.44
27,24.71
28,38.43
29,25.96
30,26.11
31,40.99
32,26.26
33,19.3
34,32.87
35,21.14
36,23.32
37,30.27
38,22.68
39,22.84
40,22.1
41,24.03
42,33.845
43,40.03
44,39.43
45,27.41
46,41.82
47,35.05
48,20.56
49,33.585
50,37.12
51,21.66
52,29.045
53,23.78
54,31.81
55,30.14
56,29.49
57,28.38
58,26.0
59,31.86
60,20.93
61,21.55
62,39.44
63,21.78
64,28.29
65,25.365
66,18.88
67,22.18
68,27.71
69,31.58
70,27.45
71,18.86
72,30.4
73,25.3
74,30.07
75,40.09
76,28.48
77,29.19
78,20.25
79,27.38
80,22.43
81,28.23
82,30.06
83,39.88
84,19.14
85,44.24
86,20.47
87,20.715
88,21.91
89,22.46
90,32.73
91,19.26
92,21.0
93,34.38
94,19.6
95,21.56
96,21.71
97,35.76
98,41.81
99,38.26
100,26.07
101,35.55
102,20.0
103,34.43
104,20.66
105,31.43
106,20.71
107,21.38
108,30.45
109,18.45
110,34.155
111,21.84
112,21.78
113,24.98
114,21.28
115,37.44
116,21.3
117,22.39
118,32.64
119,18.88
120,34.79
121,33.68
122,21.19
123,43.04
124,30.48
125,21.41
126,31.58
127,35.39
128,38.54
129,24.29
130,23.58
131,39.92
132,20.97
133,46.0
134,40.65
135,19.25
136,18.44
137,37.72
138,28.56
139,21.71
140,22.79
141,23.66
142,23.2
143,32.5
144,42.965
145,30.94
146,29.91
147,28.54
148,26.95
149,34.27
150,39.47
151,26.33
152,52.64
153,19.78
154,39.99
155,33.27
156,19.41
157,21.33
158,32.64
159,32.35
160,35.08
161,31.93
162,27.93
163,35.31
164,45.08
165,30.165
166,45.45
167,35.005
168,33.64
169,21.34
170,28.94
171,34.14
172,23.29
173,37.54
174,23.23
175,25.56
176,39.01
177,34.17
178,28.94
179,30.89
180,40.13
181,21.23
182,20.17
183,36.28
184,25.22
185,21.9
186,19.12
187,19.68
188,19.06
189,35.62
190,38.59
191,37.835
192,48.08
193,38.48
194,25.9
195,19.51
196,21.27
197,20.5
198,21.05
199,20.72
200,20.99
201,18.37
202,30.89
203,19.09
204,24.21
205,32.22
206,38.15
207,20.77
208,37.85
209,49.86
210,29.12
211,33.25
212,31.75
213,20.83
214,33.38
215,28.595
216,19.25
217,31.52
218,33.26
219,37.87
220,18.59
221,18.965
222,29.78
223,35.475
224,21.51
225,39.95
226,32.79
227,28.12
228,28.41
229,19.03
230,49.67
231,37.16
232,23.46
233,33.365
234,36.6
235,22.17
236,22.84
237,42.8
238,20.49
239,35.35
240,29.58
241,30.18
242,22.3
243,26.38
244,45.47
245,31.65
246,25.41
247,25.6
248,18.57
249,34.42
250,39.84
251,27.85
252,21.72
253,28.665
254,27.795
255,41.93
256,32.44
257,20.2
258,45.53
259,28.68
260,19.07
261,21.56
262,30.545
263,23.87
264,30.55
265,20.58
266,22.01
267,19.89
268,28.18
269,18.78
270,22.1
271,27.25
272,24.51
273,21.09
274,40.04
275,29.15
276,31.48
277,32.045
278,44.63
279,21.31
280,24.28
281,25.66
282,34.69
283,30.57
284,29.85
285,26.26
286,33.56
287,43.92
288,30.49
289,30.97
290,33.97
291,31.25
292,21.42
293,21.47
294,20.8
295,31.97
296,26.89
297,20.79
298,24.31
299,44.21
300,29.44
301,20.75
302,26.35
303,30.33
304,34.42
305,21.47
306,33.8
307,36.39
308,18.3
309,22.62
310,29.15
311,53.1
312,22.54
313,46.44
314,27.31
315,43.32
316,34.82
317,35.94
318,20.28
319,23.86
320,30.56
321,37.33
322,21.9
323,19.15
324,34.92
325,25.83
326,30.42
327,19.48
328,35.73
329,22.91
330,29.745
331,22.85
332,28.35
333,30.79
334,21.0
335,33.92
336,31.44
337,27.62
338,27.42
339,23.62
340,45.13
341,42.77
342,21.55
343,40.01
344,19.84
345,39.91
346,22.77
347,26.48
348,21.22
349,36.6
350,20.81
351,32.485
352,32.575
353,21.25
354,40.62
355,46.47
356,19.58
357,39.52
358,47.7
359,33.11
360,22.44
361,26.18
362,40.41
363,38.96
364,45.94
365,26.6
366,40.12
367,48.47
368,22.8
369,18.8
370,34.71
371,34.39
372,23.13
373,21.84
374,20.77
375,40.79
376,31.1
377,20.22
378,52.06
379,36.35
380,36.42
381,26.895
382,40.43
383,29.005
384,38.59
385,28.24
386,21.79
387,19.34
388,32.3
389,27.94
390,20.05
391,28.88
392,22.57
393,20.38
394,21.1
395,20.81
396,30.16
397,28.59
398,45.47
399,19.71
400,28.41
401,40.72
402,32.72
403,19.1
404,29.82
405,32.73
406,35.23
407,25.985
408,32.175
409,32.24
