Id,Predicted
0,35.44
1,35.98
2,26.2
3,35.105
4,48.83
5,24.81
6,33.41
7,19.75
8,41.35
9,21.42
10,40.755
11,19.32
12,31.41
13,19.74
14,40.57
15,36.08
16,47.26
17,34.66
18,32.47
19,24.32
20,39.3
21,34.025
22,49.105
23,27.635
24,34.59
25,36.75
26,28.93
27,26.86
28,33.61
29,28.33
30,29.19
31,36.45
32,30.11
33,18.59
34,30.4
35,20.24
36,24.14
37,31.345
38,22.85
39,22.45
40,21.62
41,26.42
42,38.305
43,37.54
44,38.09
45,44.3
46,41.99
47,31.38
48,22.41
49,32.57
50,29.17
51,23.18
52,38.59
53,24.17
54,40.56
55,36.51
56,36.08
57,34.04
58,27.13
59,29.8
60,20.58
61,21.49
62,40.31
63,19.49
64,26.43
65,27.615
66,18.3
67,25.71
68,23.76
69,34.84
70,27.97
71,18.87
72,28.07
73,23.46
74,39.36
75,46.06
76,34.43
77,32.5
78,19.56
79,33.39
80,21.29
81,30.37
82,31.59
83,31.07
84,19.4
85,41.69
86,21.45
87,20.34
88,19.9
89,22.32
90,30.59
91,19.42
92,17.63
93,34.86
94,20.24
95,19.0
96,26.13
97,35.73
98,34.69
99,41.3
100,29.45
101,35.07
102,20.01
103,47.91
104,21.23
105,25.92
106,21.07
107,20.76
108,38.985
109,18.52
110,26.67
111,20.91
112,18.24
113,24.6
114,26.81
115,43.63
116,20.47
117,22.23
118,32.35
119,18.72
120,35.55
121,40.54
122,20.88
123,38.68
124,36.25
125,22.53
126,35.87
127,38.34
128,29.27
129,20.63
130,23.37
131,39.49
132,20.07
133,36.85
134,34.455
135,19.25
136,20.52
137,33.79
138,28.08
139,21.15
140,20.62
141,26.2
142,20.83
143,31.54
144,41.26
145,33.99
146,32.54
147,30.86
148,23.29
149,37.58
150,35.14
151,27.99
152,41.41
153,19.88
154,40.41
155,35.665
156,20.59
157,19.9
158,33.07
159,36.16
160,37.13
161,32.795
162,25.22
163,33.81
164,41.36
165,32.13
166,41.81
167,36.43
168,38.21
169,20.89
170,29.43
171,34.24
172,25.81
173,27.14
174,23.71
175,28.38
176,35.22
177,36.0
178,34.38
179,32.78
180,39.49
181,29.63
182,21.95
183,46.43
184,24.3
185,22.791999999999998
186,19.02
187,20.31
188,19.53
189,41.43
190,37.76
191,41.19
192,38.96
193,33.25
194,25.92
195,19.39
196,20.2
197,20.7
198,20.25
199,19.51
200,21.57
201,18.66
202,38.89
203,18.29
204,19.3
205,27.7
206,35.21
207,21.04
208,35.49
209,38.05
210,28.9
211,30.57
212,32.05
213,20.1
214,33.57
215,33.83
216,20.52
217,29.69
218,36.62
219,34.96
